============================================================
  TORNEO ELO v3 — Manos independientes
============================================================
  Snapshots: 50
  Manos por enfrentamiento: 30
------------------------------------------------------------
  Pos  Jugador                                Elo    Diff
  -------------------------------------------------------
  1    snapshot_0004300000                   1552     +52
  2    snapshot_0003400000                   1551      -2
  3    snapshot_0003800000                   1550      -1
  4    snapshot_0001100000                   1542      -7
  5    snapshot_0003700000                   1541      -2
  6    snapshot_0004600000                   1539      -2
  7    snapshot_0004200000                   1538      -1
  8    snapshot_0001200000                   1537      -0
  9    snapshot_0005000000                   1536      -2
  10   snapshot_0004500000                   1536      -0
  11   snapshot_0004100000                   1534      -2
  12   snapshot_0001000000                   1531      -2
  13   snapshot_0004400000                   1529      -3
  14   snapshot_0004800000                   1525      -3
  15   snapshot_0001300000                   1523      -3
  16   snapshot_0001900000                   1522      -1
  17   snapshot_0003000000                   1520      -2
  18   snapshot_0001600000                   1517      -3
  19   snapshot_0002200000                   1517      -0
  20   snapshot_0003100000                   1516      -0
  21   snapshot_0001400000                   1516      -0
  22   snapshot_0000700000                   1516      -0
  23   snapshot_0004000000                   1513      -3
  24   snapshot_0002000000                   1513      -0
  25   snapshot_0000600000                   1512      -1
  26   snapshot_0004900000                   1512      -0
  27   snapshot_0001700000                   1510      -2
  28   snapshot_0002600000                   1510      -0
  29   snapshot_0004700000                   1510      -0
  30   [BOT] experto                         1508      -2
  31   snapshot_0003600000                   1508      -0
  32   snapshot_0002900000                   1507      -0
  33   snapshot_0000900000                   1506      -1
  34   snapshot_0003500000                   1505      -1
  35   snapshot_0001500000                   1504      -1
  36   snapshot_0003900000                   1504      -0
  37   snapshot_0003200000                   1503      -0
  38   snapshot_0000800000                   1503      -0
  39   snapshot_0002700000                   1503      -0
  40   snapshot_0002400000                   1503      -0
  41   snapshot_0003300000                   1498      -4
  42   snapshot_0001800000                   1498      -0
  43   snapshot_0002500000                   1497      -1
  44   snapshot_0002800000                   1496      -1
  45   snapshot_0002100000                   1493      -4
  46   snapshot_0000500000                   1493      -0
  47   snapshot_0002300000                   1486      -6
  48   snapshot_0000400000                   1475     -11
  49   snapshot_0000300000                   1395     -80
  50   snapshot_0000200000                   1391      -4
  51   snapshot_0000100000                   1372     -19
  52   [BOT] conservador                     1366      -6
  53   [BOT] evasivo                         1362      -3
  54   [BOT] agresivo                        1357      -5
============================================================
